sBody,nMass,sNote,sBlock,nLength,nDim1,nDim2
H,1.3356,humerus,cylinder,0.2872,0.0443,
U,0.63,ulna,cylinder,0.1622,0.0324,
R,0.1332,radius,cylinder,0.0632,0.0324,
MC,0.1574,metacarpals excluding,box,0.1097,0.07,0.027
P1,0.0127,metacarpal thumb,cylinder,0.0456,0.0088,
P1M,0.0114,thumb central,cylinder,0.0301,0.0085,
P1D,0.0089,thumb distal,cylinder,0.0213,0.008,
P2,0.0104,index finger proximal,cylinder,0.0273,0.0088,
P2M,0.0089,index finger central,cylinder,0.0197,0.0085,
P2D,0.0084,index finger distal,cylinder,0.011,0.008,
P3,0.013,middle finger proximal,cylinder,0.0284,0.0088,
P3M,0.0102,middle finger central,cylinder,0.0205,0.0085,
P3D,0.0076,middle finger distal,cylinder,0.0115,0.008,
P4,0.0092,ring finger proximal,cylinder,0.0266,0.0088,
P4M,0.0069,ring finger central,cylinder,0.0193,0.0085,
P4D,0.006,ring finger distal,cylinder,0.0108,0.008,
P5,0.0078,pinky finger proximal,cylinder,0.023,0.0088,
P5M,0.0047,pinky finger central,cylinder,0.0166,0.0085,
P5D,0.0043,pinky finger distal,cylinder,0.0093,0.008,
